country,location,year1,year,Magnitude,Deaths,Latitude,Longitude,"IMPACTO.(DPTO), PROV(DPTO)",Population,Urban,Sector,
Peru,PERU-BOLIVIA,FEB 26 1952,1952,6,,-14.1,-69.9,"CUSCO, AREQUIPA, MOQUEGUA",926634,1,1,
Peru,PERU: LIMA,ENE 18 1953,1953,5.5,,-12,-77.5,LIMA,1088094,1,1,
Peru,OFF COAST OF PERU,DIC 12 1953,1953,7.4,6,-3.4,-80.6,"TUMBES, PIURA, CAJAMARCA, LA LIBERTAD, AMAZONAS, ANCASH, LIMA",3784880,1,1,
Peru,"PERU: MUNGUI,LA UNION PROV,AREQUIPA,TORO,COTAHUASI",OCT 09 1955,1955,6,1,-16.2,-71.3,LA UNION (AREQUIPA),21025,0,3,
Peru,PERU: AREQUIPA,ENE 15 1958,1958,7,28,-16.5,-72,AREQUIPA,367763,1,1,
Peru,PERU: S,JUL 26 1958,1958,7.3,,-13.5,-69,AREQUIPA,367763,1,1,
Peru,PERU: S,1958,1958,,4,-18,-65,AREQUIPA,367763,1,1,
Peru,PERU-ECUADOR,FEB 07 1959,1959,7.4,,-4,-81.5,"PIURA, LAMBAYEQUE, TUMBES",1014329,1,1,
Peru,"PERU: AYACUCHO,POMABAMBA,MOYOBAMBA,HUAHUAPUQUIO",DIC 24 1959,1959,7,7,-13.5,-74,"HUAMANGA (AYACUCHO), CANGALLO (AYACUCHO), LUCANAS (AYACUCHO)",219407,1,3,
Peru,"PERU: AREQUIPA,CHUQUIBAMBA,CARAVELI,COTAHUASI",ENE 13 1960,1960,7.8,63,-15.75,-72.75,"CONDESUYOS, CARAVELI, LA UNION (AREQUIPA)",57224,0,3,
Peru,"PERU: LIMA,NAZCA,ICA,HUANCAVELIC,PALPA,HUAITARA",ENE 15 1960,1960,7,63,-15,-75,"LIMA (LIMA), (ICA), HUANCAVELICA, HUAYTARA (HUANCAVELICA)",1927335,1,1,
Peru,PERU,NOV 20 1960,1960,6.8,,-6.8,-80.7,(PIURA),653421,1,1,
Peru,PERU,AGO 31 1961,1961,7.5,,-10.5,-70.7,TAHUAMANU (MADRE DE DIOS),4477,0,3,
Peru,"PERU: CASMA,HUARAZ,QUIRUVILCA,TRUJILLO",ABR 18 1962,1962,6,9,-10,-79,"SANTA, CASMA (ANCASH), CHICLAYO (LAMBAYEQUE), TRUJILLO (LA LIBERTAD)",589156,1,1,
Peru,PERU: S,AGO 15 1963,1963,7.8,,-13.8,-69.3,SANDIA (PUNO),39464,0,3,
Peru,"PERU: HUAYLLACAYAN,CAJACAY,MALYAS,MALVAS,HUARAZ",SET 24 1963,1963,7,1,-10.385,-78.022,"BOLOGNESI, SANTA, RECUAY, HUARAZ, CASMA (ANCASH)",270134,1,3,
Peru,"PERU: LIMA,HUACHO,HUAURA, CHANCAY,SUPE,SAN NICOLAS",OCT 17 1966,1966,7.5,110,-10.748,-78.638,"LIMA, CHANCAY, HUARAL (LIMA)",2371053,1,1,
Peru,PERU: OFF COAST,SET 03 1967,1967,7,,-10.6,-79.8,SANTA (ANCASH),150300,0,3,
Peru,"PERU: SAN MARTIN, MOYOBAMBA, YANTALO, RIOJA, LAMAS",JUN 19 1968,1968,6.9,15,-5.6,-77.2,"CHACHAPOYAS (AMAZONAS), MAYNAS (LORETO), LAMAS, MOYOBAMBA, RIOJA (SAN MARTIN)",271861,0,3,
Peru,"PERU: LAMPA-JUNIN,HUAYTAPALLANA",JUL 24 1969,1969,5.7,,-11.9,-75.1,HUANCAYO (JUNIN),247683,1,1,
Peru,"PERU: HUAYTAPALLANA, LAMPA, CHILIFRUTA",OCT 01 1969,1969,6.2,150,-11.7,-75.1,HUANCAYO (JUNIN),247683,1,1,
Peru,"PERU: PANAO, CHACLLA, QUERO, AYLLAMARCA, LA LINDA",FEB 14 1970,1970,5.4,12,-9.9,-75.6,PACHITEA (HUANUCO),35951,0,3,
